* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:56:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 13.33 V 13.33 VC, 13.33 VA 13.33 V 22 - 22k UNW 889.0 uV >22k Distortion at 1,000.0 Hz, -17.51 dBFS: Gain: 29.34 dB THD: 0.012 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0027 %  [10 .. 22] N: 0.093 %  [0..22800 Hz] N+D: 4.492 mV A THD+N: 0.094 %  [0..22800 Hz] SNR: 60.6 dB ENOB: 13.2 bits 2nd harmonic 0.011 % -148 deg 3rd harmonic 0.00094 % 112 deg 4th harmonic 0.00075 % 156 deg 5th harmonic 0.00076 % -7 deg 6th harmonic 0.00075 % -151 deg 7th harmonic 0.00083 % -172 deg 8th harmonic 0.00083 % 168 deg 9th harmonic 0.00075 % -87 deg
* Measurement: OSDEHA A-OUT 13.3V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
1072.265625; 1.98967E-3
1078.125000; 1.55906E-3
1083.984375; 1.24658E-3
1089.843750; 1.03612E-3
1095.703125; 8.55964E-4
1101.562500; 7.10718E-4
1107.421875; 6.18513E-4
1113.281250; 5.14520E-4
1119.140625; 4.46126E-4
1125.000000; 3.91433E-4
1130.859375; 3.45114E-4
1136.718750; 3.13913E-4
1142.578125; 2.81878E-4
1148.437500; 2.43051E-4
1154.296875; 2.29182E-4
1160.156250; 2.05222E-4
1166.015625; 1.87019E-4
1171.875000; 1.88028E-4
1177.734375; 1.74002E-4
1183.593750; 1.46028E-4
1189.453125; 1.61193E-4
1195.312500; 1.41443E-4
1201.171875; 1.74617E-4
1207.031250; 1.39865E-4
1212.890625; 1.38920E-4
1218.750000; 1.42596E-4
1224.609375; 1.21615E-4
1230.468750; 1.25529E-4
1236.328125; 1.18732E-4
1242.187500; 1.24132E-4
1248.046875; 1.33341E-4
1253.906250; 1.33789E-4
1259.765625; 1.06727E-4
1265.625000; 1.06458E-4
1271.484375; 1.16544E-4
1277.343750; 1.19137E-4
1283.203125; 1.01662E-4
1289.062500; 1.08488E-4
1294.921875; 1.16029E-4
1300.781250; 1.17464E-4
1306.640625; 1.13801E-4
1312.500000; 1.11968E-4
1318.359375; 1.05138E-4
1324.218750; 1.15798E-4
1330.078125; 1.09975E-4
1335.937500; 1.07077E-4
1341.796875; 1.05727E-4
1347.656250; 1.02821E-4
1353.515625; 1.05447E-4
1359.375000; 1.03889E-4
1365.234375; 9.20647E-5
1371.093750; 1.10683E-4
1376.953125; 1.10626E-4
1382.812500; 1.06311E-4
1388.671875; 1.00089E-4
1394.531250; 1.05767E-4
1400.390625; 1.09008E-4
1406.250000; 1.01535E-4
1412.109375; 1.03719E-4
1417.968750; 1.05294E-4
1423.828125; 1.04179E-4
1429.687500; 1.10506E-4
1435.546875; 1.13469E-4
1441.406250; 1.04487E-4
1447.265625; 1.07474E-4
1453.125000; 1.15897E-4
1458.984375; 1.07098E-4
1464.843750; 1.12585E-4
1470.703125; 1.12465E-4
1476.562500; 1.03223E-4
1482.421875; 1.01182E-4
1488.281250; 9.67981E-5
1494.140625; 1.12491E-4
1500.000000; 1.15448E-4
1505.859375; 1.13200E-4
1511.718750; 1.07344E-4
1517.578125; 1.20209E-4
1523.437500; 1.07157E-4
1529.296875; 1.05868E-4
1535.156250; 1.04991E-4
1541.015625; 9.91107E-5
1546.875000; 9.98925E-5
1552.734375; 1.10544E-4
1558.593750; 1.07637E-4
1564.453125; 1.15022E-4
1570.312500; 1.03398E-4
1576.171875; 1.02413E-4
1582.031250; 1.03570E-4
1587.890625; 9.53861E-5
1593.750000; 1.03171E-4
1599.609375; 1.08582E-4
1605.468750; 1.04143E-4
1611.328125; 1.23362E-4
1617.187500; 1.01642E-4
1623.046875; 9.84258E-5
1628.906250; 9.24019E-5
1634.765625; 1.05971E-4
1640.625000; 1.14344E-4
1646.484375; 1.12920E-4
1652.343750; 1.10395E-4
1658.203125; 1.07776E-4
1664.062500; 1.05072E-4
1669.921875; 9.87881E-5
1675.781250; 1.01239E-4
1681.640625; 1.06752E-4
1687.500000; 1.10834E-4
1693.359375; 9.99292E-5
1699.218750; 1.14935E-4
1705.078125; 1.02233E-4
1710.937500; 1.20738E-4
1716.796875; 1.25197E-4
1722.656250; 9.90299E-5
1728.515625; 1.00401E-4
1734.375000; 9.66000E-5
1740.234375; 1.03462E-4
1746.093750; 1.08621E-4
1751.953125; 1.10321E-4
1757.812500; 1.03937E-4
1763.671875; 1.11257E-4
1769.531250; 1.14456E-4
1775.390625; 1.07623E-4
1781.250000; 1.09483E-4
1787.109375; 1.06000E-4
1792.968750; 9.92610E-5
1798.828125; 1.09194E-4
1804.687500; 1.03452E-4
1810.546875; 1.01333E-4
1816.406250; 1.08912E-4
1822.265625; 1.07518E-4
1828.125000; 1.06998E-4
1833.984375; 1.04085E-4
1839.843750; 9.51056E-5
1845.703125; 1.03304E-4
1851.562500; 1.01736E-4
1857.421875; 9.41747E-5
1863.281250; 1.11193E-4
1869.140625; 1.08769E-4
1875.000000; 1.10917E-4
1880.859375; 1.10178E-4
1886.718750; 1.12069E-4
1892.578125; 1.00529E-4
1898.437500; 1.05267E-4
1904.296875; 1.13619E-4
1910.156250; 1.05571E-4
1916.015625; 1.14247E-4
1921.875000; 1.07749E-4
1927.734375; 1.01586E-4
1933.593750; 1.09544E-4
1939.453125; 1.07573E-4
1945.312500; 9.88565E-5
1951.171875; 1.02953E-4
1957.031250; 1.14536E-4
1962.890625; 1.09965E-4
1968.750000; 9.62718E-5
1974.609375; 1.05754E-4
1980.468750; 1.01147E-4
1986.328125; 1.12835E-4
1992.187500; 3.95109E-4
1998.046875; 1.36130E-3
2003.906250; 1.10119E-3
2009.765625; 1.95645E-4
2015.625000; 1.16423E-4
2021.484375; 1.25303E-4
2027.343750; 1.14885E-4
2033.203125; 1.04882E-4
2039.062500; 1.07033E-4
2044.921875; 1.06217E-4
2050.781250; 1.00444E-4
2056.640625; 1.03611E-4
2062.500000; 1.11539E-4
2068.359375; 1.17170E-4
2074.218750; 1.12178E-4
2080.078125; 1.11895E-4
2085.937500; 1.15880E-4
2091.796875; 1.11398E-4
2097.656250; 1.07585E-4
2103.515625; 1.07086E-4
2109.375000; 9.97320E-5
2115.234375; 1.00277E-4
2121.093750; 1.02539E-4
2126.953125; 9.79240E-5
2132.812500; 1.03009E-4
2138.671875; 1.00554E-4
2144.531250; 1.18595E-4
2150.390625; 1.16135E-4
2156.250000; 9.83074E-5
2162.109375; 1.06674E-4
2167.968750; 1.13490E-4
2173.828125; 1.02927E-4
2179.687500; 9.76736E-5
2185.546875; 1.15445E-4
2191.406250; 1.08699E-4
2197.265625; 1.11169E-4
2203.125000; 1.11284E-4
2208.984375; 1.12075E-4
2214.843750; 1.09960E-4
2220.703125; 1.14959E-4
2226.562500; 1.10084E-4
2232.421875; 1.09892E-4
2238.281250; 1.13166E-4
2244.140625; 1.09359E-4
2250.000000; 1.10122E-4
2255.859375; 1.22298E-4
2261.718750; 1.13605E-4
2267.578125; 1.07332E-4
2273.437500; 9.16043E-5
2279.296875; 1.04398E-4
2285.156250; 1.08185E-4
2291.015625; 1.09441E-4
2296.875000; 1.03759E-4
2302.734375; 9.67938E-5
2308.593750; 9.93704E-5
2314.453125; 9.81532E-5
2320.312500; 1.01284E-4
2326.171875; 9.56609E-5
2332.031250; 1.04539E-4
2337.890625; 1.03976E-4
2343.750000; 1.06511E-4
2349.609375; 1.08049E-4
2355.468750; 1.10403E-4
2361.328125; 1.12874E-4
2367.187500; 1.14696E-4
2373.046875; 1.08233E-4
2378.906250; 1.15630E-4
2384.765625; 1.07615E-4
2390.625000; 9.98763E-5
2396.484375; 1.08275E-4
2402.343750; 1.13857E-4
2408.203125; 1.08786E-4
2414.062500; 1.07349E-4
2419.921875; 9.65594E-5
2425.781250; 9.94218E-5
2431.640625; 1.05775E-4
2437.500000; 9.94796E-5
2443.359375; 1.04957E-4
2449.218750; 1.06711E-4
2455.078125; 1.07330E-4
2460.937500; 1.09122E-4
2466.796875; 1.12234E-4
2472.656250; 1.12828E-4
2478.515625; 1.02898E-4
2484.375000; 1.00810E-4
2490.234375; 8.79176E-5
2496.093750; 9.64168E-5
2501.953125; 1.07337E-4
2507.812500; 1.13342E-4
2513.671875; 1.07468E-4
2519.531250; 1.01432E-4
2525.390625; 9.53454E-5
2531.250000; 9.71388E-5
2537.109375; 1.00870E-4
2542.968750; 1.02842E-4
2548.828125; 1.09450E-4
2554.687500; 1.05275E-4
2560.546875; 1.01913E-4
2566.406250; 1.02828E-4
2572.265625; 9.90303E-5
2578.125000; 9.96766E-5
2583.984375; 1.07890E-4
2589.843750; 1.17482E-4
2595.703125; 1.03557E-4
2601.562500; 1.17404E-4
2607.421875; 1.09656E-4
2613.281250; 1.02122E-4
2619.140625; 1.04750E-4
2625.000000; 1.05893E-4
2630.859375; 1.08694E-4
2636.718750; 1.19925E-4
2642.578125; 1.11767E-4
2648.437500; 1.09715E-4
2654.296875; 1.11982E-4
2660.156250; 1.22686E-4
2666.015625; 1.15164E-4
2671.875000; 1.17083E-4
2677.734375; 1.08438E-4
2683.593750; 9.98559E-5
2689.453125; 1.07900E-4
2695.312500; 1.03519E-4
2701.171875; 9.91119E-5
2707.031250; 9.82988E-5
2712.890625; 1.06476E-4
2718.750000; 1.14346E-4
2724.609375; 1.06435E-4
2730.468750; 1.04938E-4
2736.328125; 9.73271E-5
2742.187500; 1.02247E-4
2748.046875; 1.02703E-4
2753.906250; 1.10805E-4
2759.765625; 1.04964E-4
2765.625000; 1.04694E-4
2771.484375; 1.07195E-4
2777.343750; 1.13096E-4
2783.203125; 1.21820E-4
2789.062500; 1.15363E-4
2794.921875; 1.08866E-4
2800.781250; 1.08973E-4
2806.640625; 1.09063E-4
2812.500000; 1.07317E-4
2818.359375; 1.08584E-4
2824.218750; 1.10506E-4
2830.078125; 1.15234E-4
2835.937500; 1.00623E-4
