* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:47:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 3.161 V 3.161 VC, 3.161 VA 3.161 V 22 - 22k UNW 873.8 uV >22k Distortion at 1,000.0 Hz, -30.00 dBFS: Gain: 29.35 dB THD: 0.015 % based on 21 harmonics  [0..22800 Hz] HHD: 0.011 %  [10 .. 22] N: 0.40 %  [0..22800 Hz] N+D: 4.154 mV A THD+N: 0.40 %  [0..22800 Hz] SNR: 48.0 dB ENOB: 13.2 bits 2nd harmonic 0.0037 % -152 deg 3rd harmonic 0.0032 % -150 deg 4th harmonic 0.0033 % -37 deg 5th harmonic 0.0032 % 93 deg 6th harmonic 0.0031 % 5 deg 7th harmonic 0.0032 % 70 deg 8th harmonic 0.0035 % -63 deg 9th harmonic 0.0031 % 50 deg 
* Measurement: OSDEHA A-OUT 3.1V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
1072.265625; 4.81522E-4
1078.125000; 3.76486E-4
1083.984375; 3.13692E-4
1089.843750; 2.67665E-4
1095.703125; 2.29423E-4
1101.562500; 2.16372E-4
1107.421875; 1.70231E-4
1113.281250; 1.79543E-4
1119.140625; 1.50384E-4
1125.000000; 1.36996E-4
1130.859375; 1.30431E-4
1136.718750; 1.23805E-4
1142.578125; 1.32227E-4
1148.437500; 1.09954E-4
1154.296875; 1.14753E-4
1160.156250; 1.23791E-4
1166.015625; 1.15043E-4
1171.875000; 1.21074E-4
1177.734375; 1.11311E-4
1183.593750; 1.08946E-4
1189.453125; 1.10927E-4
1195.312500; 1.17458E-4
1201.171875; 1.21201E-4
1207.031250; 1.01453E-4
1212.890625; 1.05269E-4
1218.750000; 1.05727E-4
1224.609375; 1.05330E-4
1230.468750; 1.08241E-4
1236.328125; 1.02688E-4
1242.187500; 1.02041E-4
1248.046875; 1.16636E-4
1253.906250; 1.14448E-4
1259.765625; 1.05723E-4
1265.625000; 1.17975E-4
1271.484375; 1.13691E-4
1277.343750; 1.11111E-4
1283.203125; 1.10881E-4
1289.062500; 1.05041E-4
1294.921875; 1.02243E-4
1300.781250; 1.07221E-4
1306.640625; 1.06255E-4
1312.500000; 1.12397E-4
1318.359375; 1.05050E-4
1324.218750; 9.38243E-5
1330.078125; 9.41464E-5
1335.937500; 1.11693E-4
1341.796875; 1.01596E-4
1347.656250; 9.38091E-5
1353.515625; 1.02183E-4
1359.375000; 1.12922E-4
1365.234375; 1.00844E-4
1371.093750; 1.00072E-4
1376.953125; 1.01529E-4
1382.812500; 1.03647E-4
1388.671875; 9.98575E-5
1394.531250; 1.05897E-4
1400.390625; 1.17252E-4
1406.250000; 9.92890E-5
1412.109375; 1.05622E-4
1417.968750; 1.02689E-4
1423.828125; 1.05196E-4
1429.687500; 1.03441E-4
1435.546875; 1.06109E-4
1441.406250; 1.13121E-4
1447.265625; 1.16002E-4
1453.125000; 1.12304E-4
1458.984375; 1.01724E-4
1464.843750; 1.05318E-4
1470.703125; 1.10553E-4
1476.562500; 1.03749E-4
1482.421875; 1.03182E-4
1488.281250; 1.09920E-4
1494.140625; 1.14609E-4
1500.000000; 1.18238E-4
1505.859375; 1.15045E-4
1511.718750; 1.05124E-4
1517.578125; 9.83525E-5
1523.437500; 1.05538E-4
1529.296875; 1.04271E-4
1535.156250; 1.13138E-4
1541.015625; 1.10903E-4
1546.875000; 1.11709E-4
1552.734375; 9.82914E-5
1558.593750; 9.42709E-5
1564.453125; 1.06857E-4
1570.312500; 1.14816E-4
1576.171875; 1.16746E-4
1582.031250; 1.11688E-4
1587.890625; 1.13009E-4
1593.750000; 1.02895E-4
1599.609375; 1.00763E-4
1605.468750; 9.55651E-5
1611.328125; 1.05635E-4
1617.187500; 1.20185E-4
1623.046875; 1.11688E-4
1628.906250; 1.13518E-4
1634.765625; 1.08110E-4
1640.625000; 1.03740E-4
1646.484375; 1.09636E-4
1652.343750; 1.00990E-4
1658.203125; 1.04452E-4
1664.062500; 1.14496E-4
1669.921875; 1.08532E-4
1675.781250; 1.11204E-4
1681.640625; 1.05688E-4
1687.500000; 9.91247E-5
1693.359375; 9.41588E-5
1699.218750; 1.05459E-4
1705.078125; 1.17883E-4
1710.937500; 1.10543E-4
1716.796875; 1.01264E-4
1722.656250; 9.68789E-5
1728.515625; 1.05381E-4
1734.375000; 1.07324E-4
1740.234375; 1.00575E-4
1746.093750; 9.98959E-5
1751.953125; 1.02597E-4
1757.812500; 1.04726E-4
1763.671875; 1.09828E-4
1769.531250; 1.04332E-4
1775.390625; 1.14862E-4
1781.250000; 1.07277E-4
1787.109375; 9.59562E-5
1792.968750; 1.06532E-4
1798.828125; 1.24974E-4
1804.687500; 1.21453E-4
1810.546875; 1.05180E-4
1816.406250; 1.04478E-4
1822.265625; 1.04946E-4
1828.125000; 1.15596E-4
1833.984375; 1.11874E-4
1839.843750; 1.07831E-4
1845.703125; 1.13959E-4
1851.562500; 1.14213E-4
1857.421875; 1.04732E-4
1863.281250; 1.04213E-4
1869.140625; 1.09606E-4
1875.000000; 1.03166E-4
1880.859375; 1.02219E-4
1886.718750; 1.04154E-4
1892.578125; 1.07076E-4
1898.437500; 1.08039E-4
1904.296875; 1.08561E-4
1910.156250; 1.13031E-4
1916.015625; 1.05814E-4
1921.875000; 1.11561E-4
1927.734375; 1.07709E-4
1933.593750; 1.07302E-4
1939.453125; 1.08720E-4
1945.312500; 1.01309E-4
1951.171875; 1.16620E-4
1957.031250; 1.17765E-4
1962.890625; 1.10777E-4
1968.750000; 1.10112E-4
1974.609375; 1.04014E-4
1980.468750; 9.90754E-5
1986.328125; 1.08350E-4
1992.187500; 1.07124E-4
1998.046875; 1.34823E-4
2003.906250; 1.17397E-4
2009.765625; 1.09606E-4
2015.625000; 1.01270E-4
2021.484375; 9.79981E-5
2027.343750; 1.03267E-4
2033.203125; 1.05683E-4
2039.062500; 1.10396E-4
2044.921875; 1.00168E-4
2050.781250; 1.07334E-4
2056.640625; 1.13194E-4
2062.500000; 9.87273E-5
2068.359375; 9.67584E-5
2074.218750; 9.90782E-5
2080.078125; 1.05896E-4
2085.937500; 1.02783E-4
2091.796875; 1.07677E-4
2097.656250; 1.15378E-4
2103.515625; 1.10147E-4
2109.375000; 1.02168E-4
2115.234375; 1.00231E-4
2121.093750; 9.79913E-5
2126.953125; 1.05047E-4
2132.812500; 1.12002E-4
2138.671875; 1.10243E-4
2144.531250; 1.01208E-4
2150.390625; 9.88509E-5
2156.250000; 1.09639E-4
2162.109375; 1.00474E-4
2167.968750; 1.05042E-4
2173.828125; 1.06455E-4
2179.687500; 1.08703E-4
2185.546875; 1.11822E-4
2191.406250; 1.17544E-4
2197.265625; 1.21968E-4
2203.125000; 1.19803E-4
2208.984375; 1.03292E-4
2214.843750; 9.69190E-5
2220.703125; 9.48785E-5
2226.562500; 1.02789E-4
2232.421875; 9.66944E-5
2238.281250; 9.43697E-5
2244.140625; 9.70712E-5
2250.000000; 1.00126E-4
2255.859375; 9.45443E-5
2261.718750; 1.01091E-4
2267.578125; 1.07130E-4
2273.437500; 1.04409E-4
2279.296875; 1.04751E-4
2285.156250; 1.00655E-4
2291.015625; 9.67468E-5
2296.875000; 9.70638E-5
2302.734375; 9.78441E-5
2308.593750; 9.23960E-5
2314.453125; 1.07182E-4
2320.312500; 1.08932E-4
2326.171875; 1.11950E-4
2332.031250; 1.01225E-4
2337.890625; 9.92401E-5
2343.750000; 9.77425E-5
2349.609375; 1.06421E-4
2355.468750; 1.05156E-4
2361.328125; 9.03739E-5
2367.187500; 9.04484E-5
2373.046875; 1.08268E-4
2378.906250; 1.02462E-4
2384.765625; 9.49019E-5
2390.625000; 1.01018E-4
2396.484375; 9.92109E-5
2402.343750; 1.11065E-4
2408.203125; 1.10626E-4
2414.062500; 1.11013E-4
2419.921875; 1.10784E-4
2425.781250; 1.06091E-4
2431.640625; 1.00762E-4
2437.500000; 9.80868E-5
2443.359375; 1.06282E-4
2449.218750; 1.10435E-4
2455.078125; 1.06212E-4
2460.937500; 9.89858E-5
2466.796875; 9.13166E-5
2472.656250; 8.82520E-5
2478.515625; 8.86867E-5
2484.375000; 9.72204E-5
2490.234375; 1.03472E-4
2496.093750; 1.09056E-4
2501.953125; 1.07528E-4
2507.812500; 9.47249E-5
2513.671875; 1.00419E-4
2519.531250; 1.12348E-4
2525.390625; 1.11015E-4
2531.250000; 1.00068E-4
2537.109375; 1.05518E-4
2542.968750; 1.08942E-4
2548.828125; 1.10236E-4
2554.687500; 1.17807E-4
2560.546875; 1.17858E-4
2566.406250; 1.04981E-4
2572.265625; 1.02342E-4
2578.125000; 9.53037E-5
2583.984375; 1.05912E-4
2589.843750; 1.09003E-4
2595.703125; 1.04784E-4
2601.562500; 1.01715E-4
2607.421875; 1.03732E-4
2613.281250; 1.19579E-4
2619.140625; 1.15448E-4
2625.000000; 9.96158E-5
2630.859375; 9.98326E-5
2636.718750; 1.08346E-4
2642.578125; 1.06717E-4
2648.437500; 1.07155E-4
2654.296875; 1.07896E-4
2660.156250; 1.18578E-4
2666.015625; 1.10362E-4
2671.875000; 1.10674E-4
2677.734375; 1.05255E-4
2683.593750; 1.06838E-4
2689.453125; 1.14137E-4
2695.312500; 1.04534E-4
2701.171875; 9.38081E-5
2707.031250; 9.77413E-5
2712.890625; 1.02851E-4
2718.750000; 1.11651E-4
2724.609375; 1.09315E-4
2730.468750; 1.09983E-4
2736.328125; 1.05775E-4
2742.187500; 9.63314E-5
2748.046875; 1.02924E-4
2753.906250; 1.13298E-4
2759.765625; 1.10342E-4
2765.625000; 1.00276E-4
2771.484375; 1.08097E-4
2777.343750; 1.07342E-4
2783.203125; 1.03849E-4
2789.062500; 1.00029E-4
2794.921875; 1.09069E-4
2800.781250; 1.06662E-4
2806.640625; 1.02275E-4
2812.500000; 1.07156E-4
2818.359375; 1.05810E-4
2824.218750; 9.89220E-5
2830.078125; 1.05972E-4
2835.937500; 1.03172E-4
2841.796875; 1.05572E-4
2847.656250; 1.03228E-4
2853.515625; 1.06707E-4
2859.375000; 1.09163E-4
2865.234375; 1.05768E-4
2871.093750; 1.04518E-4
2876.953125; 1.07538E-4
2882.812500; 1.03873E-4
2888.671875; 1.02998E-4
2894.531250; 1.03981E-4
2900.390625; 1.10252E-4
2906.250000; 1.01223E-4
2912.109375; 1.02305E-4
2917.968750; 1.08783E-4
2923.828125; 9.61980E-5
2929.687500; 1.06235E-4
2935.546875; 1.07466E-4
2941.406250; 1.09780E-4
2947.265625; 1.18763E-4
2953.125000; 1.14291E-4
2958.984375; 1.09472E-4
2964.843750; 1.02504E-4
2970.703125; 1.00727E-4
2976.562500; 1.16567E-4
2982.421875; 1.11313E-4
2988.281250; 1.02527E-4
2994.140625; 9.82385E-5
3000.000000; 8.77980E-5
3005.859375; 9.98260E-5
3011.718750; 1.04073E-4
3017.578125; 1.03595E-4
3023.437500; 9.97368E-5
3029.296875; 1.02858E-4
3035.156250; 1.07977E-4
3041.015625; 1.14802E-4
3046.875000; 1.15725E-4
3052.734375; 1.20601E-4
3058.593750; 1.20785E-4
3064.453125; 1.08247E-4
3070.312500; 1.04947E-4
3076.171875; 1.11999E-4
3082.031250; 1.08303E-4
3087.890625; 1.00579E-4
3093.750000; 9.50281E-5
3099.609375; 9.41665E-5
3105.468750; 1.04845E-4
3111.328125; 1.07516E-4
3117.187500; 1.12801E-4
3123.046875; 1.12387E-4
3128.906250; 1.05949E-4
3134.765625; 1.06910E-4
3140.625000; 1.02808E-4
3146.484375; 1.04027E-4
3152.343750; 1.05702E-4
3158.203125; 1.01150E-4
3164.062500; 9.64065E-5
3169.921875; 1.04662E-4
3175.781250; 1.06342E-4
3181.640625; 1.04340E-4
3187.500000; 1.01833E-4
3193.359375; 1.07204E-4
3199.218750; 1.13213E-4
3205.078125; 1.13520E-4
3210.937500; 1.02354E-4
3216.796875; 1.03099E-4
3222.656250; 9.91416E-5
3228.515625; 1.02386E-4
3234.375000; 1.00587E-4
3240.234375; 1.02941E-4
3246.093750; 9.86109E-5
3251.953125; 9.91929E-5
3257.812500; 9.97005E-5
3263.671875; 1.05113E-4
3269.531250; 1.16313E-4
3275.390625; 1.15904E-4
3281.250000; 9.52581E-5
3287.109375; 1.04107E-4
3292.968750; 1.09270E-4
3298.828125; 1.15644E-4
3304.687500; 1.12101E-4
3310.546875; 9.77844E-5
3316.406250; 8.72425E-5
3322.265625; 1.00919E-4
3328.125000; 1.05804E-4
3333.984375; 1.11335E-4
3339.843750; 1.10342E-4
3345.703125; 1.01613E-4
3351.562500; 1.06042E-4
3357.421875; 1.12856E-4
3363.281250; 1.16087E-4
3369.140625; 1.13864E-4
3375.000000; 1.07434E-4
3380.859375; 1.07994E-4
3386.718750; 1.02965E-4
3392.578125; 1.14118E-4
3398.437500; 1.11387E-4
3404.296875; 1.12830E-4
3410.156250; 1.05088E-4
3416.015625; 1.00632E-4
3421.875000; 1.00869E-4
3427.734375; 9.88236E-5
3433.593750; 9.96733E-5
3439.453125; 1.01623E-4
3445.312500; 1.06120E-4
3451.171875; 1.12901E-4
3457.031250; 1.11199E-4
3462.890625; 1.03692E-4
3468.750000; 1.01662E-4
3474.609375; 1.13340E-4
3480.468750; 1.08331E-4
3486.328125; 9.98276E-5
3492.187500; 1.05621E-4
3498.046875; 1.12917E-4
3503.906250; 1.07987E-4
3509.765625; 1.05087E-4
3515.625000; 1.00136E-4
3521.484375; 1.02830E-4
3527.343750; 1.05276E-4
3533.203125; 9.71659E-5
3539.062500; 1.00950E-4
3544.921875; 1.01021E-4
3550.781250; 1.02183E-4
3556.640625; 9.97480E-5
3562.500000; 9.72448E-5
3568.359375; 1.00404E-4
